max_number;door_length;wall_length;area;nb_door;nb_wall;cooling;heating
565;239;3094;6000;5;22;51317;435
395;335;1741;7000;7;27;64455;529
331;311;1303;7000;9;26;64267;529
384;684;2867;10000;11;31;115995;904
584;326;2369;8000;7;26;76355;625
443;625;2752;11000;15;47;141385;1085
468;521;2732;15000;11;54;528573;3777
388;597;2535;13000;11;40;315730;2296
291;572;2140;15000;19;47;513215;3689
589;331;2237;7000;6;24;65068;535
560;383;1570;5000;8;21;44457;386
631;419;2854;8000;6;26;77927;625
402;324;2032;11000;10;37;136551;1053
391;796;2620;11000;12;33;142108;1102
418;395;2073;6000;7;25;54189;449
589;466;2677;8000;7;30;78379;631
928;1550;6218;14000;17;47;410754;2955
443;423;2028;11000;10;38;133374;1036
1891;2026;10247;6000;8;25;53838;455
372;635;2271;14000;14;49;410714;2959
548;877;5403;23000;20;86;1703314;11716
391;796;2620;11000;12;33;142108;1102
417;567;2595;15000;15;53;519856;3719
491;702;2620;11000;10;34;141884;1091
771;879;3522;5000;7;17;44624;391
281;204;1107;8000;9;28;77706;625
355;292;1544;9000;9;26;93976;747
416;603;2581;12000;15;45;190428;1438
630;668;3186;7000;7;27;65015;539
766;590;5934;17000;10;59;1134889;7982
415;540;2381;10000;12;47;114987;893
418;337;2018;10000;7;34;109867;869
411;619;2517;13000;15;43;324102;2360
1032;703;3841;5000;6;16;44625;384
522;905;3126;13000;17;40;276691;2045
559;1211;4434;16000;22;60;767145;5400
1273;791;4328;8000;7;32;77465;625
277;414;1641;10000;12;33;116949;922
573;0;1482;1000;0;8;16149;166
557;597;2370;6000;8;23;53873;456
385;283;1630;8000;6;25;77369;629
555;798;3756;16000;11;50;796681;5598
385;565;2220;9000;11;31;92238;734
364;202;1386;2000;3;8;20848;204
1121;649;5365;12000;7;34;192117;1454
401;229;1305;7000;8;32;63245;526
539;374;2232;7000;6;23;65037;538
398;550;2454;10000;10;31;112352;879
633;1056;4133;12000;12;35;185742;1412
494;746;4100;13000;14;53;321676;2343
534;305;1962;5000;4;16;44406;384
425;328;1758;5000;5;20;45129;392
613;780;2601;8000;10;25;79389;645
541;569;2495;7000;10;35;62904;526
